Player,Age,Team,Pos,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Nick Richards,27,2TM,C,0.634,0.006,13.1,27.5,20.4,5.9,0.5,4.2,16.3,17.3,-2,-1.3,-3.3,-0.4
Josh Richardson,31,MIA,SG,0.402,0.579,4.5,4.4,4.4,10.5,2.7,0.6,16.8,14.1,-7.3,0.6,-6.7,-0.2
Zaccharie Risacher,19,ATL,SF,0.558,0.442,5,11.1,8,7.1,1.3,1.8,9.8,20.9,-1.7,-1.8,-3.5,-0.7
Liam Robbins,25,MIL,C,0.363,0.25,13.9,9.2,11.4,4.2,1.7,3.3,32.6,14.2,-9.2,-1.3,-10.5,-0.1
Duncan Robinson,30,MIA,SF,0.595,0.729,1.1,9.1,5.2,14.7,1.1,0.3,11.1,19.2,-0.7,-1.1,-1.7,0.1
Mitchell Robinson,26,NYK,C,0.676,0,20.8,19.2,20,5.9,2.7,5.8,13.4,11.1,1.5,1.8,3.3,0.4
Orlando Robinson,24,2TM,C,0.519,0.199,12.1,18.7,15.4,14,1.1,2,14.4,18.5,-3,-0.4,-3.4,-0.3
Jeremiah Robinson-Earl,24,NOP,PF,0.563,0.473,9.3,18.4,13.7,9.9,1.5,0.5,12.1,14.4,-0.9,-1.6,-2.5,-0.2
David Roddy,23,3TM,PF,0.561,0.488,3.4,19.5,11.2,11.5,1.6,2,13.9,16,-1.6,0.1,-1.5,0.1
Ryan Rollins,22,MIL,PG,0.6,0.443,2.9,11.1,7.2,17.8,2.5,1.9,15.4,18.4,-1.4,0.9,-0.5,0.3
Jackson Rowe,28,GSW,PF,0.56,0.588,6,17,11.4,11.1,3.7,0,4.8,16.7,-0.5,1.5,1,0
Terry Rozier,30,MIA,PG,0.497,0.485,3,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-2.6,-1,-3.7,-0.7
Rayan Rupert,20,POR,SG,0.499,0.415,6,10.6,8.2,7.6,1.7,0.8,16.2,16.8,-4.1,-0.6,-4.7,-0.3
D'Angelo Russell,28,2TM,PG,0.522,0.564,1.5,11,6.2,31.2,1.9,1.5,13.3,24,0,-0.4,-0.4,0.6
Matt Ryan,27,NYK,SF,0.439,0.613,0,13.4,6.8,5.9,1.5,0,8.6,22.3,-5.1,-2.3,-7.5,-0.1
Domantas Sabonis,28,SAC,C,0.655,0.175,12.3,32.6,22.4,26,1,1,16.5,21.6,4.2,1.1,5.2,4.4
Tidjane Salaün,19,CHO,PF,0.457,0.594,5.9,18.4,12,8.5,1.1,1.1,13.1,15.2,-4.3,-0.8,-5.2,-1
Adama Sanogo,22,CHI,C,0.571,0,25.4,4.9,15,6.7,0,0,12.5,15.9,0.7,-3.4,-2.6,0
Gui Santos,22,GSW,PF,0.575,0.575,9.9,14.5,12.1,14.2,1.6,1.2,17.5,13.2,-2.2,0.5,-1.7,0.1
Dario Šari?,30,DEN,C,0.449,0.448,7.7,17.9,13.1,13.1,1.6,0.4,19.4,15.6,-4.4,-0.4,-4.8,-0.1
Alex Sarr,19,WAS,C,0.482,0.412,7.1,17.9,12.5,13.9,1.2,5,11.2,23.5,-2.2,-1,-3.3,-0.6
Marcus Sasser,24,DET,PG,0.589,0.514,2.5,6.9,4.7,22.9,2.2,0.5,14.5,19.4,-0.4,-0.2,-0.6,0.3
Baylor Scheierman,24,BOS,SG,0.49,0.745,5.4,13,9.2,11.3,2.2,0.5,9.4,14.5,-2.5,0.8,-1.7,0
Dennis Schröder,31,3TM,PG,0.531,0.449,1.4,9.2,5.2,28.7,1.5,0.6,13.3,21.6,-1.3,-0.9,-2.2,-0.1
Alperen ?engün,22,HOU,C,0.545,0.079,11.4,23.8,17.5,24.1,1.7,2.3,12.7,26.2,2.6,1.8,4.4,3.9
Brice Sensabaugh,21,UTA,SF,0.612,0.621,3.2,12.6,7.9,12,1.5,0.5,14.5,21.5,0.4,-1.6,-1.2,0.3
Collin Sexton,26,UTA,SG,0.593,0.313,3.7,6.8,5.2,25.1,1.3,0.3,14.1,27,1.7,-2.3,-0.6,0.6
Landry Shamet,27,NYK,SG,0.601,0.678,1.7,7.5,4.6,4.7,1.5,0.2,8.5,14.8,-1.9,-0.6,-2.4,-0.1
Terrence Shannon Jr.,24,MIN,SG,0.56,0.272,3.3,11.9,7.7,13.8,1,1.4,10.9,17.7,-2.1,0,-2.1,0
Day'Ron Sharpe,23,BRK,C,0.568,0.142,17.8,23.8,20.7,16.8,2.3,4.6,15.3,19.9,0,0.9,0.9,0.7
Shaedon Sharpe,21,POR,SG,0.551,0.428,3.2,12.7,7.8,14.2,1.3,0.6,11,25.1,0,-1.3,-1.3,0.4
Jamal Shead,22,TOR,PG,0.499,0.442,2.1,6.4,4.2,29.8,1.9,0.7,18,18.6,-3.2,-0.9,-4.1,-0.8
Ben Sheppard,23,IND,SG,0.555,0.693,4,12,8,8.6,1.5,1,6.9,11.3,-2.2,0.2,-2,0
Reed Sheppard,20,HOU,PG,0.465,0.594,2.6,10.3,6.4,15.2,2.6,2.3,13.1,17.8,-3,1.3,-1.7,0.1
Pascal Siakam,30,IND,PF,0.599,0.274,5.9,17.6,11.8,15.7,1.3,1.5,7.6,24.2,2.2,-0.5,1.7,2.4
Ben Simmons,28,2TM,PG,0.539,0,4.6,20.3,12.2,37,1.7,2,30,13.2,-2.3,1.8,-0.5,0.4
Anfernee Simons,25,POR,SG,0.557,0.527,1.2,8,4.5,23.3,1.3,0.2,10.6,24.6,1.5,-1.5,-0.1,1.1
KJ Simpson,22,CHO,PG,0.437,0.432,4.8,9,6.9,19.8,2,0.7,14.8,19.1,-4.5,-0.9,-5.4,-0.7
Jaylen Sims,26,CHO,SG,0.607,0.536,2.8,2.9,2.9,15.6,1.3,0.9,18.8,16.2,-2.8,-1.3,-4.1,-0.1
Jericho Sims,26,2TM,C,0.639,0,12.9,22,17.6,6.4,0.8,2.8,30.1,7.6,-3.1,0.1,-3,-0.2
Marcus Smart,30,2TM,PG,0.529,0.549,2.8,8.3,5.6,21.7,2.7,1.2,15.8,20.6,-1.6,0.1,-1.5,0.1
Dru Smith,27,MIA,SG,0.656,0.492,5,9.8,7.4,12,3.9,2.1,20.4,13.8,-1.3,3.4,2.1,0.3
Jabari Smith Jr.,21,HOU,PF,0.562,0.489,6.4,18.6,12.4,4.7,0.7,2.1,8.9,16.4,-0.8,0.1,-0.7,0.6
Jalen Smith,24,CHI,C,0.586,0.544,9.9,28.7,19.5,9.7,0.8,4,7.6,21,1.5,-0.6,0.9,0.7
Nick Smith Jr.,20,CHO,SG,0.502,0.539,1,9.1,5,16.7,0.6,0.4,12.2,20.8,-3.2,-2.6,-5.7,-1.3
Tolu Smith,24,DET,PF,0.678,0,20.3,20,20.1,0,0,0,16.2,23.6,-2.4,-6.5,-8.9,0
Tyler Smith,20,MIL,PF,0.626,0.6,5.6,16.3,11.1,4.9,1.2,3.1,13,22.1,0.4,-1.2,-0.9,0
Jeremy Sochan,21,SAS,PF,0.589,0.194,10,17.7,13.8,13.7,1.6,1.8,13.8,19,-0.8,-0.4,-1.2,0.3
Cam Spencer,24,MEM,SG,0.587,0.634,5.1,7.5,6.3,16.9,1.7,0.4,6.2,15.4,0.3,0.2,0.5,0.2
Pat Spencer,28,GSW,PG,0.455,0.218,6.3,13.7,9.9,28.1,2.7,1.1,14.3,21.2,-3,1.4,-1.6,0
Jaden Springer,22,2TM,PG,0.511,0.533,5.1,12.1,8.6,12.1,3.2,1,13,14.3,-4.3,1.6,-2.7,-0.1
Isaiah Stevens,24,MIA,PG,0,0.5,0,36.5,18.4,0,8.3,0,0,14.8,-19.5,7.7,-11.8,0
Lamar Stevens,27,MEM,PF,0.545,0.429,2.8,23,13,6.9,1.5,1.8,12.8,20.2,-3.6,-0.6,-4.2,-0.1
Isaiah Stewart,23,DET,C,0.616,0.168,10.1,20.6,15.4,11.3,0.9,6.7,16.1,12.4,-1.6,2.1,0.6,0.9
Julian Strawther,22,DEN,SG,0.559,0.553,1.4,9.5,5.6,7.6,1.4,1,9.8,17.8,-3.1,-1.4,-4.5,-0.9
Max Strus,28,CLE,SF,0.607,0.786,4.6,13.6,9.2,15.6,1,0.9,12.2,14.7,1.1,0.2,1.3,1.1
Jalen Suggs,23,ORL,PG,0.536,0.503,2.5,14.2,8.1,21.6,2.5,3.2,16.2,27.5,-0.8,1.3,0.4,0.6
Cole Swider,25,2TM,SF,0.465,0.746,3.1,14.3,8.6,2.3,1.1,1.1,5.9,16.7,-4.9,-2.4,-7.3,-0.2
Jae'Sean Tate,29,HOU,SF,0.557,0.311,8.9,12.4,10.6,10.5,2.2,1.1,11.5,13.3,-2.1,1.4,-0.7,0.2
Jayson Tatum,26,BOS,PF,0.582,0.497,2,23.7,12.9,27,1.5,1.3,11.2,31.2,4.4,0.8,5.2,4.8
Terry Taylor,25,SAC,PF,0,0,18.6,0,9.3,37.6,0,0,0,7.2,3.2,0.1,3.3,0
Garrett Temple,38,TOR,SG,0.406,0.467,4.2,9.7,6.8,17.4,3.6,0.8,13.3,13.9,-5.7,2.1,-3.6,-0.1
Dalen Terry,22,CHI,SG,0.546,0.388,4.1,9,6.6,12.7,2.1,1.3,15.1,14.9,-4,0.2,-3.8,-0.5
Daniel Theis,32,NOP,C,0.558,0.287,7.4,21.5,14.2,13,1.4,3.1,14.7,11.6,-3.3,0,-3.3,-0.2
Cam Thomas,23,BRK,SG,0.575,0.43,2.1,10.4,6,22.9,1,0.3,10.6,32.6,2.8,-2.6,0.3,0.5
Amen Thompson,22,HOU,SF,0.602,0.131,9,18.2,13.5,16.9,2.1,3.6,14.6,17.5,1.4,2.6,4.1,3.4
Ausar Thompson,22,DET,SF,0.568,0.107,9.3,15.9,12.6,14.4,3.5,2.9,13.3,19.1,-0.8,2.5,1.7,1.2
Klay Thompson,34,DAL,SF,0.552,0.631,2.5,11,6.8,10.7,1.2,1.3,8.8,21.8,0.7,-1.6,-1,0.5
Tristan Thompson,33,CLE,C,0.41,0.042,10.9,32.7,22.1,8.8,0.3,3,14.3,12.7,-4.9,0.3,-4.6,-0.2
JT Thor,22,2TM,PF,0.517,0.356,8.4,11.8,10.1,3.3,1.5,3.2,11.6,13.1,-4.3,-1.1,-5.4,-0.2
Matisse Thybulle,27,POR,SG,0.592,0.545,4.7,13.6,9,12.7,5.1,2.6,12.1,14.4,0,5.1,5,0.6
Xavier Tillman Sr.,26,BOS,C,0.31,0.604,4.7,15.5,10.1,3.8,2.4,2,20.4,13.1,-8.4,0.3,-8.1,-0.4
Drew Timme,24,BRK,PF,0.5,0.343,7.3,22.5,14.5,13.1,0.8,0.4,12.1,21.3,-3.9,-2.8,-6.7,-0.3
Nae'Qwan Tomlin,24,CLE,PF,0.489,0.313,15.9,20.1,18.1,4.4,0,1.4,5.1,26.1,-3,-2.4,-5.5,-0.1
Jacob Toppin,24,2TM,SF,0.523,0.455,4.5,17.9,11.2,10.2,1.3,0,12,13.9,-1.8,-0.8,-2.6,0
Obi Toppin,26,IND,PF,0.642,0.503,4.1,18.7,11.5,11.9,1.4,1.6,9.5,20.1,1.8,-0.1,1.7,1.4
Karl-Anthony Towns,29,NYK,C,0.63,0.278,9.8,32,21,13.8,1.4,1.9,12.1,27.4,3.5,0.1,3.6,3.5
Armel Traoré,22,LAL,SF,0.317,0.368,3.5,21.2,12.6,2,2.9,2.8,12,16.4,-9.5,-0.4,-9.8,-0.1
Luke Travers,23,CLE,SG,0.287,0.45,10.1,14.4,12.3,10.5,0.5,1,27.7,13.9,-7.8,-1.9,-9.7,-0.2
Gary Trent Jr.,26,MIL,SG,0.591,0.659,1.2,8.2,4.8,6.4,1.8,0.2,5.7,17.1,-1.2,-0.4,-1.6,0.2
Oscar Tshiebwe,25,UTA,C,0.64,0,19.6,31.9,25.8,5.3,2.4,0.4,10.7,15.3,0.6,-2,-1.4,0
P.J. Tucker,39,NYK,SF,0.643,0.857,8,7.8,7.9,0,0.9,1.6,12.5,6,-4.8,-2.4,-7.2,-0.1
Myles Turner,28,IND,C,0.612,0.486,4.7,19.4,12.1,7.1,1.2,6,11.8,20.7,0,0.4,0.4,1.3
Hunter Tyson,24,DEN,PF,0.506,0.617,7.2,13.9,10.7,6.1,1.2,1.3,9.6,15.5,-3.3,-1.5,-4.8,-0.3
Jaylon Tyson,22,CLE,SG,0.523,0.389,9.1,13.7,11.5,12.4,1.4,0.6,14,17.4,-2.4,-0.2,-2.7,-0.1
Stanley Umude,25,MIL,SG,0.27,0.577,5.3,15.8,10.7,5.7,1.7,6.5,9.8,15.7,-7.5,-0.7,-8.1,-0.1
Jonas Valan?i?nas,32,2TM,C,0.602,0.059,13.3,30.7,22,17.6,1.2,2.8,14.6,22.8,0.8,-0.1,0.6,1
Jarred Vanderbilt,25,LAL,PF,0.537,0.264,13.6,21.5,17.6,9.4,3,1.6,17.5,12.5,-2.3,1.3,-1,0.2
Fred VanVleet,30,HOU,PG,0.515,0.607,1.6,9.7,5.6,21.2,2.2,1.1,9.6,17.7,-0.4,1.3,0.9,1.5
Devin Vassell,24,SAS,SG,0.553,0.483,1.8,12,6.9,13.8,2,1.5,8.5,22.1,-0.3,-0.8,-1.1,0.4
Gabe Vincent,28,LAL,PG,0.536,0.736,1.5,5.2,3.4,8.7,1.6,0.8,8.7,13.5,-3.8,-0.1,-4,-0.8
Nikola Vu?evi?,34,CHI,C,0.611,0.309,8.3,25.2,16.9,17.1,1.2,2,9.7,22.4,2.5,0.1,2.6,2.7
Tristan Vukcevic,21,WAS,C,0.608,0.421,5.2,21.2,13.2,13,1,4,13.4,25.7,0.4,-0.9,-0.5,0.2
Dean Wade,28,CLE,PF,0.563,0.819,4.5,16.6,10.8,7.3,1.6,1.4,7.2,10.4,-1,1.2,0.3,0.7
Franz Wagner,23,ORL,SF,0.558,0.303,3,17.1,9.7,26.6,1.9,1,9.6,31,2.6,0.5,3.1,2.6
Moritz Wagner,27,ORL,C,0.649,0.301,7.7,23.1,15,13.7,2.1,2,14.1,26.8,2.6,1.4,4,0.9
Jabari Walker,22,POR,PF,0.601,0.314,8.3,22.6,15.3,7.2,2.1,0.7,11.6,16.3,-1.2,0.5,-0.8,0.2
Jarace Walker,21,IND,PF,0.59,0.514,2.4,19,10.8,12.2,2.2,1.9,16.7,17.1,-1.8,0.8,-0.9,0.3
Lonnie Walker IV,26,PHI,SG,0.548,0.599,1.4,14.1,7.5,16.5,1,1,10,22.8,0,-2.4,-2.4,0
Cason Wallace,21,OKC,SG,0.562,0.425,4.1,8.8,6.5,11.5,3.1,1.9,10.5,12.8,-1.5,2.6,1,1.5
Keaton Wallace,25,ATL,PG,0.503,0.506,1.5,9.6,5.5,21,2.6,1.7,16.5,16.4,-3.3,1,-2.3,0
Jordan Walsh,20,BOS,PF,0.464,0.663,6.2,12.4,9.3,6,1.5,2.5,16.1,11.5,-4.4,0.5,-3.9,-0.2
Ja'Kobe Walter,20,TOR,SG,0.523,0.473,5.6,10.1,7.8,10.2,1.9,0.9,10.4,18.2,-2.3,-0.6,-3,-0.3
Kel'el Ware,20,MIA,C,0.603,0.239,9.1,27.5,18.4,6.5,1.4,4.8,10.4,17.2,-0.7,0.6,-0.1,0.7
P.J. Washington,26,DAL,PF,0.556,0.359,5,20.9,13.1,10.1,1.7,2.8,13.6,20.4,-1.1,0.2,-0.9,0.5
TyTy Washington Jr.,23,PHO,PG,0.367,0.467,3.9,8.3,6.1,18.5,1.3,0,5.9,19,-5.6,-2.5,-8,-0.2
Lindy Waters III,27,2TM,SG,0.504,0.747,2.7,12.8,7.6,9.1,1.7,1.3,7.3,14.8,-3,0.2,-2.8,-0.2
Trendon Watford,24,BRK,PF,0.557,0.251,4.4,16,9.9,21,1.5,1.3,17.1,23.3,-2.3,-0.8,-3.1,-0.3
Anton Watson,24,NYK,SF,0.444,0.111,5.3,10.3,7.8,12.8,2.3,0,18.2,21.7,-8.3,-1.8,-10.1,0
Peyton Watson,22,DEN,SF,0.564,0.318,3.3,11.8,7.7,7,1.4,5,10.3,13.9,-2.1,0.3,-1.8,0.1
Jaylen Wells,21,MEM,SG,0.56,0.58,4.6,9.3,6.9,8.4,1,0.4,8.6,15.9,-1.2,-1,-2.2,-0.1
Victor Wembanyama,21,SAS,C,0.594,0.47,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4,3.6,2.9,6.5,3.3
Blake Wesley,21,SAS,SG,0.51,0.312,2.7,6.9,4.8,22.3,2.6,0.8,20.2,16.7,-3.9,-0.3,-4.2,-0.4
Russell Westbrook,36,DEN,PG,0.532,0.35,5.6,13.4,9.7,28.8,2.4,1.6,20.6,23.8,-0.9,-0.2,-1.1,0.5
Phillip Wheeler,22,PHI,PF,0.183,0.476,4.9,16.1,10.3,6,1.1,4.5,4.4,22.6,-12,-6.2,-18.2,-0.2
Coby White,24,CHI,SG,0.601,0.521,1.1,10.4,5.8,19.5,1.3,0.6,12.4,24.4,0.5,-1.4,-0.9,0.7
Derrick White,30,BOS,SG,0.606,0.721,2.8,11.5,7.2,20.2,1.4,2.9,11.3,19.8,2.7,0.8,3.5,3.6
Dariq Whitehead,20,BRK,SF,0.58,0.771,1.8,12.1,6.7,7.8,1.2,0.4,13.3,20.1,-1.5,-2.2,-3.7,-0.1
Cam Whitmore,20,HOU,SF,0.549,0.454,4.5,15.1,9.7,8.9,1.8,1.4,9.6,23.9,0.7,-0.4,0.3,0.5
Aaron Wiggins,26,OKC,SG,0.596,0.466,5.1,12.9,9.1,10.6,1.7,1,8.3,20.3,1.3,-0.2,1.1,1.4
Andrew Wiggins,29,2TM,SF,0.566,0.415,5.1,10.8,7.9,13.5,1.6,2.6,9.4,24.5,1.2,-0.3,0.9,1.4
Alondes Williams,25,DET,SG,1.25,0.5,0,0,0,65,0,0,0,21.1,37.9,6.2,44.1,0
Brandon Williams,25,DAL,PG,0.634,0.319,2.7,10.1,6.5,23.2,2.4,0.9,15.2,22.6,1,-0.1,1,0.4
Cody Williams,20,UTA,SG,0.419,0.525,2.8,8.7,5.7,7.4,1,1.4,13.8,12.5,-6.1,-1.2,-7.3,-1.4
Grant Williams,26,CHO,PF,0.596,0.602,3.9,14.5,9.1,11.3,1.8,2.7,16.7,14.8,-2.3,0.7,-1.6,0.1
Jalen Williams,23,OKC,SG,0.573,0.291,2.9,14.6,8.8,23.4,2.4,2.1,10.3,27.5,2.7,1.4,4,3.4
Jaylin Williams,22,OKC,PF,0.594,0.692,6.7,28.7,17.9,19,1.3,3.7,13,14.6,1.5,2.7,4.3,1.2
Kenrich Williams,30,OKC,PF,0.587,0.483,6.3,16.3,11.4,11,1.8,0.9,9.5,15.4,-0.4,0.9,0.6,0.7
Mark Williams,23,CHO,C,0.647,0.009,11.8,29.3,20.3,16.5,1.3,4.5,12,21.4,2.5,0.9,3.5,1.6
Nate Williams,25,HOU,SG,0.496,0.419,3.6,5.9,4.7,8.8,2.6,2.4,17.6,22.3,-5.5,-0.2,-5.7,-0.1
Patrick Williams,23,CHI,PF,0.512,0.527,2.9,12.7,7.9,10.3,1.4,1.8,13.5,16.9,-3,-0.7,-3.7,-0.7
Robert Williams,27,POR,C,0.679,0.038,10.5,26.3,18.2,8.6,1.8,8.5,16.6,12.2,-0.1,3.2,3,0.4
Vince Williams Jr.,24,MEM,SG,0.504,0.569,4.7,15.9,10.4,13.8,1.1,1.3,15.7,17,-2.5,-0.3,-2.8,-0.1
Ziaire Williams,23,BRK,SF,0.55,0.581,4.3,17.5,10.6,8.5,2,1.8,10.5,18.2,-2.2,-0.1,-2.3,-0.1
Zion Williamson,24,NOP,PF,0.6,0.026,9.3,18.2,13.6,36.6,2.1,3,12.8,34.7,5.9,1,7,1.9
Jalen Wilson,24,BRK,PF,0.541,0.584,4,11.4,7.5,10.8,1,0.2,10.2,16.6,-2.6,-1.3,-3.9,-1
James Wiseman,23,IND,C,0.615,0.25,0,22.1,11.1,0,0,0,0,42.2,6,-4.4,1.6,0
Isaiah Wong,24,CHO,SG,0.5,0.314,5.5,7.4,6.4,16.5,2,0,13,22.1,-2.9,-1,-4,-0.1
Delon Wright,32,2TM,PG,0.44,0.557,4.9,6.5,5.7,15,2.7,1.8,13.4,11.3,-2.8,1.4,-1.4,0.1
Guerschon Yabusele,29,PHI,C,0.616,0.487,7.7,16.3,11.8,11.6,1.5,1.2,12.2,16.3,0.1,-1.1,-1,0.5
Jahmir Young,24,CHI,PG,0.935,0.4,3.6,6.9,5.2,26.2,0,0,14.5,9.6,1.2,-0.8,0.5,0
Trae Young,26,ATL,PG,0.567,0.467,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6,3.3,-2.7,0.5,1.7
Ivica Zubac,27,LAC,C,0.641,0,13.1,30.2,21.8,12.8,1,3.4,10.8,19.5,2.3,0.8,3.1,3.4
